label_id,free_text
0,em được làm fan cứng luôn rồi nè ️ reaction quá hay quá dễ_thương coi mấy giờ này quá hợp_lí
0,đậu văn cường giờ giống thằng sida hơn à
0,từ lý_thuyết đến thực_hành là cả câu_chuyện dài
0,coronavirus is manmade
0,đố chúng_mày nhận ra ai
0,được anh ơi lâu rồi không nghe phúc du rap
0,cắt cho trẻ trâu bớt thôi mà
0,nghe rất vô_lí nhưng cực_kì thuyết_phục
0,chán ghê không có bé mới máu được hâha
0,sao tao gửi được bây
0,thế đấy làm gì bọn nó bọn nó có quyền nên làm gì chả được
0,thuong wa_di
0,bamtp chạy ngay_di
0,cứ đăng cái ảnh bố con là y_như_rằng bị đổi
0,dàn táo năm nay làm chương_trình táo_quân vi hành nhé mọi người phát_sóng tối tết trên
0,đời vô thường lắm sống phải tu tâm tích đức cô ơi khẩu nghiệp quá cô ơi
0,có ai biết làm cách nào để tìm lại được đồng_đội đồng_chí hay bạn_hữu cùng đơn_vị của người trong bức ảnh không
0,sống chậm lại các mày
0,chương_trình quảng_cáo xin được bắt_đầu
0,thế vinh yasbaga tối_cao
0,phải thầy không ta
0,cảnh_sát chính_tả coming nè
0,xuân đương tới nghĩa_là xuân đương quá
0,nhìn chúng_nó bình_luận mà đắng bạn à
0,em yêu anh từ thuở tóc dài
0,theo chân mấy anh hàn quốc rồi
0,lương tháng triệu thôi à con_trai nhưng bố vẫn ăn tạm táng hoàng đế để sống wa ngày thôi con_trai à
0,mệt quá thầy ạ
0,gia lộc tran quang còn gì vui hơn cãi_vã
0,chị hôm_nay đẹp quá
0,xem rồi nè
0,việt tiến nghèo là rõ
0,người_ta bị lừa_gạt mấy còn êm_ru mà đằng này hơn trăm triệu thôi mà la um xùm hà
0,tú thích hoa_hồng và mùa đông được quang đâm phía sau mông
0,cuối_cùng anh đã trở_lại em tưởng anh biến mất luôn cho em mừng thiệt là tình nội_dung mang tính giải_trí không có ý anti hay ghét ai
0,vừa tăng lương phát biết ngay
0,ai là cảm_tình diên thích
0,xin tộc_trưởng hãy cho hiếu lợn thần ra trận đảm_bảo sẽ có chiến_thắng
0,năm rồi à
0,đầu thứ tóc rồi mà còn bị trẻ trâu levi lừa
0,nguoi mien trung nhu em chi ngoi xem cac bac chui nhau thôi
0,quan va dan nhu nhau phai ton trong phap luat khong thuen vi mot ai
0,chúc ba_rọi béo vui_vẻ
0,không vào thì lấy đâu ra vốn vay fdi cho các anh đút_túi
0,việc nhẹ lương cao mình xin nhường cho những người thất_nghiệp
0,chào người anh_em
0,diệp gia_nghi_nghiệp nó quật mày chết bây_giờ
0,duy khương bên nó ai bị hoặc nghi bị thì tự cách_ly tự điểu trị nhé nó còn không cho xét_nghiệm cơ_chỉ khi nào bạn chết thì nó mới khám_nghiệm để kết_luận có do vi rút hay không ở ngoài đường mà đeo khẩu_trang bọn anh nó còn đấm vào mặt cho chứ ở đó mà điều_trị
0,chứ ông anh già
0,trương duy không người chơi giá_trị nhất đội mình thì là người chơi giá_trị nhất của đội bạn
0,xin video với anh
0,bị gì bị lắm thế
0,du_học_sinh úc cơ ấy
0,ơi vãi anh quang
0,chờ_đợi nồi bánh_chưng mới được fan cứng nên bình_luận cho không mất chứ không biết chơi phát thưởng
0,khá khó
0,giúp em làm_đẹp với em không có điều_kiện không có khả_năg nhưng thấy có người đẹp em rất thích
0,thu bo xuất_sắc nhưng em lại làm mấy bạn kia buồn thêm
0,hoan_nghênh ông trần dần có tư_tưởng tiến_bộ không chống cộng sảng việt nam nữa chỉ có quên đi quá_khứ để yêu_thương ai cũng về già lo tu thân sám_hối là điều lựa_chọn tốt nhất chúc ông trần dần sống lâu tuổi và luôn khỏe mạnh đẹp_lão
0,võ thành nhân huyền_thoại
0,sương_mù là tại thiên_tai
0,mình không quan_tâm cô_đơn cho lắm
0,thế em thích làm phù_thuỷ rồi bạn nam phải làm_sao đây anh nhỉ
0,uầy tôi là cưng phán các ông ạ được vãi lồn anh ơi
0,maruko linh
0,ảnh này ở video superhero nghe buồn não ruột
0,anh tik nói quá đúng luôn
0,ở đây ai là chủ
0,chú bòn em chặt chứ không ăn nhé
0,cực_kì thuyế hác xì á chết mẹ
0,le quang tôi toàn nghe nhạc của buồi anh tuấn hà anh tuấn nghe mấy bài này không thấm nổi
0,nguyễn trọng thái người_ta nói bạn đợi nhưng bạn có biết bạn đang đợi cái lồn gì không hay_là đợi thiệp hồng
0,có anh độ tết lúc_nào chả vui
0,nghe nói trước đây số_thành_phần người hà_nội kì_thị dân vĩnh phúc đúng không nhỉ bây_giờ sao thì mấy ngừoi đó bị lây hết chưa ấy nhỉ
0,thảo người thua tại dốt anh văn quá
0,dần_dần thấy jack mất hay
0,dì ê dì là trai hay gái ạ
0,vợ quốc_sư là buồi kim thành còn vợ_nhỏ là lisa phạm
0,trước khi cắm lên đầu em cái sừng nó cũng bảo y_như_thế
0,cận thận nhà anh_em
0,duyên phạm ghê trời nay văn_chương dữ hén
0,xin ạ
0,hoàng minh
0,anh trung magic
0,là gì á mọi người
0,cho tôi xin facebook hoặc số điện_thoại zalo hay instagram được không
0,chị chửi là chị cứu nhân độ
0,nghi_vấn thầy chà_trộn tbl tu
0,dao chặt không đứt
0,hồng thy cái giọng_điệu nói cảm_thấy hao_hao giống
0,nhanh thực_sự
0,đồng nhung máy_bay phalcon tỷ belike
0,so pre tài_trợ độ tây ngày hôm ngày
